num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
0.0,64,2,0.8829849266742469,1,9.101035356521606,1000,0.01,1.0,,,10.0,42.0
0.0,64,2,0.8489055668646097,2,9.064557075500488,1000,0.01,5.0,,,10.0,42.0
0.0,64,2,0.8984764812196456,1,9.084877252578735,1000,0.01,10.0,,,10.0,42.0
0.0,64,2,0.8942458697439488,8,9.034918785095217,1000,0.01,15.0,,,10.0,42.0
0.0,64,2,0.8615909000655922,5,9.175008058547974,1000,0.01,20.0,,,10.0,42.0
0.0,64,2,0.8030120481241815,2,9.065683364868164,1000,0.01,25.0,,,10.0,42.0
0.0,64,2,0.8602609095951532,4,9.18556785583496,1000,0.01,30.0,,,10.0,42.0
0.0,64,2,0.8485724682450758,2,9.025821924209597,1000,0.01,35.0,,,10.0,42.0
0.0,64,2,0.8361018443255285,0,9.182260751724243,1000,0.01,40.0,,,10.0,42.0
0.0,64,2,0.919201143877868,2,8.993782043457031,1000,0.001,1.0,,,10.0,42.0
0.0,64,2,0.8134820762655814,0,9.009307146072388,1000,0.001,5.0,,,10.0,42.0
0.0,64,2,0.8146579727815426,0,9.013635158538818,1000,0.001,10.0,,,10.0,42.0
0.0,64,2,0.7933596155774215,2,9.003283023834229,1000,0.001,15.0,,,10.0,42.0
0.0,64,2,0.863800555427914,2,9.037929773330688,1000,0.001,20.0,,,10.0,42.0
0.0,64,2,0.8095238430968219,2,9.045541524887083,1000,0.001,25.0,,,10.0,42.0
0.0,64,2,0.7992871992871994,2,9.08215355873108,1000,0.001,30.0,,,10.0,42.0
0.0,64,2,0.9127157122420428,39,8.921944379806519,1000,0.001,35.0,,,10.0,42.0
0.0,64,2,0.8913496371635906,2,8.992590188980103,1000,0.001,40.0,,,10.0,42.0
1.0,64,2,0.8090159465721685,0,9.162811517715454,1000,0.01,1.0,,,10.0,42.0
1.0,64,2,0.7107048325417585,0,9.236180782318115,1000,0.01,5.0,,,10.0,42.0
1.0,64,2,0.6382515215028366,6,9.264347314834597,1000,0.01,10.0,,,10.0,42.0
1.0,64,2,0.6050932385138419,1,9.22306776046753,1000,0.01,15.0,,,10.0,42.0
1.0,64,2,0.6873989768093391,4,9.241093397140505,1000,0.01,20.0,,,10.0,42.0
