num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
10.0,64,2,0.3512964435298045,3,103.78034925460815,1000,0.01,20.0,,,140.0,42.0
10.0,64,2,0.4094579186274036,8,123.78980445861816,1000,0.01,25.0,,,140.0,42.0
10.0,64,2,0.3166839780923613,2,140.7923502922058,1000,0.01,30.0,,,140.0,42.0
10.0,64,2,0.3317208945347998,0,159.18129587173462,1000,0.01,35.0,,,140.0,42.0
10.0,64,2,0.3354302347737219,3,179.53892540931702,1000,0.01,40.0,,,140.0,42.0
10.0,64,2,0.4851582605976083,2,45.70247077941895,1000,0.001,1.0,,,140.0,42.0
10.0,64,2,0.4295623905323141,6,49.80959177017212,1000,0.001,5.0,,,140.0,42.0
10.0,64,2,0.3636049817293078,2,71.42767357826233,1000,0.001,10.0,,,140.0,42.0
10.0,64,2,0.414882066682564,1,89.17766094207764,1000,0.001,15.0,,,140.0,42.0
10.0,64,2,0.3481651199704722,1,105.27219104766846,1000,0.001,20.0,,,140.0,42.0
10.0,64,2,0.3942426698614193,0,124.38236951828004,1000,0.001,25.0,,,140.0,42.0
10.0,64,2,0.3482702835000262,2,143.0794975757599,1000,0.001,30.0,,,140.0,42.0
10.0,64,2,0.3437749085089595,3,170.49353528022766,1000,0.001,35.0,,,140.0,42.0
10.0,64,2,0.3396109767743884,16,179.09216594696045,1000,0.001,40.0,,,140.0,42.0
100.0,64,2,0.4356678939329292,0,46.43666815757752,1000,0.01,1.0,,,140.0,42.0
100.0,64,2,0.4380188615058054,0,49.33041548728943,1000,0.01,5.0,,,140.0,42.0
100.0,64,2,0.4938885432747468,2,69.59610843658447,1000,0.01,10.0,,,140.0,42.0
100.0,64,2,0.4930306984604607,1,86.43301320075989,1000,0.01,15.0,,,140.0,42.0
100.0,64,2,0.5219949842502557,5,110.15920114517212,1000,0.01,20.0,,,140.0,42.0
100.0,64,2,0.5155373709806272,2,140.92270278930664,1000,0.01,25.0,,,140.0,42.0
100.0,64,2,0.5341262858946465,0,151.30104541778564,1000,0.01,30.0,,,140.0,42.0
100.0,64,2,0.3397093795269215,18,168.76618194580078,1000,0.01,35.0,,,140.0,42.0
100.0,64,2,0.3107689627305153,585,182.9761734008789,1000,0.01,40.0,,,140.0,42.0
100.0,64,2,0.4133681510539856,0,38.55322980880737,1000,0.001,1.0,,,140.0,42.0
100.0,64,2,0.4431482368162093,0,53.64591598510742,1000,0.001,5.0,,,140.0,42.0
100.0,64,2,0.4746908201167562,1,68.61823272705078,1000,0.001,10.0,,,140.0,42.0
100.0,64,2,0.507349761849081,2,85.59699535369873,1000,0.001,15.0,,,140.0,42.0
100.0,64,2,0.5285957944849627,2,118.46243286132812,1000,0.001,20.0,,,140.0,42.0
100.0,64,2,0.5162348136202758,3,125.8204562664032,1000,0.001,25.0,,,140.0,42.0
100.0,64,2,0.5147801417353055,5,150.10293650627136,1000,0.001,30.0,,,140.0,42.0
100.0,64,2,0.5325012946041362,36,178.39758348464966,1000,0.001,35.0,,,140.0,42.0
100.0,64,2,0.5261698886710707,10,190.85465931892395,1000,0.001,40.0,,,140.0,42.0
300.0,64,2,0.3138516331707293,0,37.05894136428833,1000,0.01,1.0,,,140.0,42.0
300.0,64,2,0.4241973279064545,0,49.26832175254822,1000,0.01,5.0,,,140.0,42.0
300.0,64,2,0.4240679739944012,0,70.07082033157349,1000,0.01,10.0,,,140.0,42.0
