,feature,imp
293,num__x1280,0.0009832144004358733
294,num__x1233,0.0009822817945909727
295,num__x6,0.0009763087865214206
296,num__x812,0.0009725064187164198
297,num__x457,0.0009701511666366492
298,num__x1261,0.0009678056558429688
299,num__x1275,0.0009606214535810372
300,num__x284,0.0009576649651146799
301,num__x59,0.000955858089612811
302,num__x801,0.0009547451456497591
303,num__x442,0.0009536538615315883
304,num__x320,0.0009501853923902232
305,num__x755,0.0009480047571675283
306,num__x333,0.0009453978695682895
307,num__x181,0.000938872283222186
308,num__x957,0.0009383548810154483
309,num__x81,0.0009278088265204142
310,num__x1112,0.0009256240853768083
311,num__x149,0.0009227539551588583
312,num__x661,0.0009181746307216434
313,num__x1109,0.0009173600611119759
314,num__x155,0.0009114168685732294
315,num__x1303,0.0009106633308380037
316,num__x807,0.0009094837012270604
317,num__x1309,0.0009047992665291503
318,num__x1143,0.0009045119008405957
319,num__x450,0.0008992971773395346
320,num__x1390,0.0008946428781543098
321,num__x632,0.0008922233258585095
322,num__x102,0.0008904015075961893
323,num__x1048,0.000886998367126408
324,num__x330,0.0008801572913097696
325,num__x937,0.0008799880091926587
326,num__x376,0.0008787544213723622
327,num__x856,0.0008747035031140246
328,num__x539,0.0008680174989026015
329,num__x882,0.0008673700738147645
330,num__x326,0.0008636207916043866
331,num__x1216,0.0008610759369313325
332,num__x301,0.0008572500722549781
333,num__x910,0.0008519450230302472
334,num__x1156,0.0008509523136030118
335,num__x1105,0.0008467582132632626
336,num__x735,0.0008447474266432014
337,num__x857,0.000841668056601227
338,num__x1181,0.0008414318106481455
339,num__x921,0.0008367812356613813
340,num__x778,0.0008344887004283444
341,num__x370,0.0008329877183185123
342,num__x1296,0.0008315508893266582
343,num__x124,0.0008302234580104284
344,num__x203,0.0008290371664655134
345,num__x986,0.0008266157714333516
346,num__x610,0.0008229016425680235
347,num__x640,0.0008211965016546678
348,num__x591,0.000814946293067818
349,num__x300,0.0008140326438630931
350,num__x837,0.000813953497947964
351,num__x41,0.0008110503947683071
352,num__x1190,0.0008075050057236373
353,num__x1215,0.0008054295943179758
354,num__x1319,0.0008052001702754407
355,num__x1367,0.0008037037465170372
356,num__x233,0.0007971394189773225
357,num__x346,0.0007966442105399784
358,num__x695,0.0007921698612025372
359,num__x773,0.0007900329100690515
360,num__x880,0.0007893148746855136
361,num__x56,0.0007889587158703297
362,num__x77,0.0007850942713492351
363,num__x1422,0.0007811151562397855
364,num__x62,0.000780337910154477
365,num__x604,0.0007801841651541422
366,num__x1191,0.0007785154393681024
367,num__x988,0.0007717317870910499
368,num__x1208,0.0007714418273745818
369,num__x1201,0.0007669460462964626
