num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
0.0,64,2,0.3003150189425358,0,16.52438521385193,1000,0.01,1.0,,,100.0,42.0
0.0,64,2,0.2672392761981527,0,15.629255771636965,1000,0.01,5.0,,,100.0,42.0
0.0,64,2,0.2683343202292702,0,16.00424075126648,1000,0.01,10.0,,,100.0,42.0
0.0,64,2,0.2738933109341885,0,15.230672597885132,1000,0.01,15.0,,,100.0,42.0
0.0,64,2,0.255631203955472,0,15.614516735076904,1000,0.01,20.0,,,100.0,42.0
0.0,64,2,0.2823504113961879,0,15.81358242034912,1000,0.01,25.0,,,100.0,42.0
0.0,64,2,0.2807493774642101,0,16.08788561820984,1000,0.01,30.0,,,100.0,42.0
0.0,64,2,0.317365596480321,0,16.30233359336853,1000,0.01,35.0,,,100.0,42.0
0.0,64,2,0.2976762294865729,0,15.94563055038452,1000,0.01,40.0,,,100.0,42.0
0.0,64,2,0.2871086230597413,0,16.407456398010254,1000,0.001,1.0,,,100.0,42.0
0.0,64,2,0.3177405997796779,0,16.514033555984497,1000,0.001,5.0,,,100.0,42.0
0.0,64,2,0.3062369491601158,0,15.710570812225342,1000,0.001,10.0,,,100.0,42.0
0.0,64,2,0.2873946466755417,0,15.32458233833313,1000,0.001,15.0,,,100.0,42.0
0.0,64,2,0.2895659532998162,0,15.44557523727417,1000,0.001,20.0,,,100.0,42.0
0.0,64,2,0.2936330870219286,0,14.664682626724243,1000,0.001,25.0,,,100.0,42.0
0.0,64,2,0.268775155758498,0,15.378923177719116,1000,0.001,30.0,,,100.0,42.0
0.0,64,2,0.2996608702804791,0,15.511933326721191,1000,0.001,35.0,,,100.0,42.0
0.0,64,2,0.2697518229089687,0,15.287174463272097,1000,0.001,40.0,,,100.0,42.0
1.0,64,2,0.2011797280346096,0,15.92487359046936,1000,0.01,1.0,,,100.0,42.0
1.0,64,2,0.2259799255855649,0,15.850892066955566,1000,0.01,5.0,,,100.0,42.0
1.0,64,2,0.2485936794812201,0,17.0921688079834,1000,0.01,10.0,,,100.0,42.0
1.0,64,2,0.25192342495912,1,20.60415029525757,1000,0.01,15.0,,,100.0,42.0
1.0,64,2,0.2638466755598178,1,21.574490785598755,1000,0.01,20.0,,,100.0,42.0
1.0,64,2,0.2937757850767072,3,26.24835515022278,1000,0.01,25.0,,,100.0,42.0
1.0,64,2,0.2489650182075967,0,28.852064847946167,1000,0.01,30.0,,,100.0,42.0
1.0,64,2,0.2720286362943683,3,32.34941101074219,1000,0.01,35.0,,,100.0,42.0
1.0,64,2,0.3040766990027052,0,31.5005111694336,1000,0.01,40.0,,,100.0,42.0
1.0,64,2,0.226957039640109,0,15.987560749053957,1000,0.001,1.0,,,100.0,42.0
1.0,64,2,0.2186815309102212,0,17.183618307113647,1000,0.001,5.0,,,100.0,42.0
1.0,64,2,0.250221408225949,0,17.776468992233276,1000,0.001,10.0,,,100.0,42.0
1.0,64,2,0.2434774865982777,0,19.97139048576355,1000,0.001,15.0,,,100.0,42.0
1.0,64,2,0.2751887964213981,0,14.158087015151978,1000,0.001,20.0,,,100.0,42.0
1.0,64,2,0.2674976193093765,3,16.937796592712402,1000,0.001,25.0,,,100.0,42.0
1.0,64,2,0.2857378544194086,0,19.415782690048218,1000,0.001,30.0,,,100.0,42.0
1.0,64,2,0.2553908813395922,0,20.705537796020508,1000,0.001,35.0,,,100.0,42.0
1.0,64,2,0.2603015130550207,0,21.63286137580872,1000,0.001,40.0,,,100.0,42.0
3.0,64,2,0.2343662795641444,1,15.031824350357056,1000,0.01,1.0,,,100.0,42.0
3.0,64,2,0.2366873081296309,0,17.179612636566162,1000,0.01,5.0,,,100.0,42.0
3.0,64,2,0.2360405975482312,0,17.73287606239319,1000,0.01,10.0,,,100.0,42.0
3.0,64,2,0.2412063778595843,0,22.42891478538513,1000,0.01,15.0,,,100.0,42.0
3.0,64,2,0.2033902236759641,0,27.35577392578125,1000,0.01,20.0,,,100.0,42.0
3.0,64,2,0.2445345751082502,1,28.17680525779724,1000,0.01,25.0,,,100.0,42.0
3.0,64,2,0.2405369154057774,2,32.73369836807251,1000,0.01,30.0,,,100.0,42.0
3.0,64,2,0.2622654145647805,0,33.67140197753906,1000,0.01,35.0,,,100.0,42.0
3.0,64,2,0.3035791483890647,2,39.35122537612915,1000,0.01,40.0,,,100.0,42.0
3.0,64,2,0.2073289021765632,0,17.060230016708374,1000,0.001,1.0,,,100.0,42.0
3.0,64,2,0.2431597489197222,0,20.96914553642273,1000,0.001,5.0,,,100.0,42.0
3.0,64,2,0.2630858711745366,2,22.19939351081848,1000,0.001,10.0,,,100.0,42.0
3.0,64,2,0.2051629932784612,0,28.94996762275696,1000,0.001,15.0,,,100.0,42.0
