num_top_features,hid,layers,cost,epoch_converged,total_time,epoch,lr,k,p,r,train_count,seed
0,64,2,0.01277022615151857,0,14.015667200088501,1000,0.01,1.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.26227855682373,1000,0.01,5.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,10.191072940826416,1000,0.01,10.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.917553186416626,1000,0.01,15.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.584614515304565,1000,0.01,20.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.4364914894104,1000,0.01,25.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.632925271987915,1000,0.01,30.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.640780925750732,1000,0.01,35.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.987656831741333,1000,0.01,40.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.071789979934692,1000,0.001,1.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.286375284194946,1000,0.001,5.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.607173919677734,1000,0.001,10.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.334686279296875,1000,0.001,15.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.581101179122925,1000,0.001,20.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.315438270568848,1000,0.001,25.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.838618993759155,1000,0.001,30.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.923635482788086,1000,0.001,35.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.197001934051514,1000,0.001,40.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.015929460525513,1000,0.0001,1.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.306145191192627,1000,0.0001,5.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.340743064880371,1000,0.0001,10.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.912984848022461,1000,0.0001,15.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.860259294509888,1000,0.0001,20.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,15.42550539970398,1000,0.0001,25.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.365825176239014,1000,0.0001,30.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,13.943669080734253,1000,0.0001,35.0,,,100.0,41.0
0,64,2,0.01277022615151857,0,14.095467805862427,1000,0.0001,40.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,15.822859525680542,1000,0.01,1.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,16.970518589019775,1000,0.01,5.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,18.212130546569824,1000,0.01,10.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,22.398849725723267,1000,0.01,15.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,23.52899670600891,1000,0.01,20.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,28.233850955963135,1000,0.01,25.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,29.384037256240845,1000,0.01,30.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,34.36133933067322,1000,0.01,35.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,34.8475558757782,1000,0.01,40.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,16.066495895385742,1000,0.001,1.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,17.597570657730103,1000,0.001,5.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,18.327281951904297,1000,0.001,10.0,,,100.0,41.0
1,64,2,0.01277022615151857,0,22.734482765197754,1000,0.001,15.0,,,100.0,41.0
