,feature,imp
0,num__x65,0.027239967331110896
1,num__x731,0.012700219848176177
2,num__x3579,0.011698590576691504
3,num__x1868,0.010352309316772591
4,num__x102,0.010103447656500213
5,num__x3257,0.007976636004046217
6,num__x22,0.006612416733414408
7,num__x729,0.006278455540399571
8,num__x236,0.006229169422583562
9,num__x2786,0.005379519974637189
10,num__x1618,0.00527998647568855
11,num__x1797,0.005171991332088662
12,num__x3122,0.004993640182204216
13,num__x3030,0.004815575432092946
14,num__x1968,0.004800375840973677
15,num__x2185,0.004761635047495535
16,num__x247,0.0047223499518029835
17,num__x3472,0.004579819281075355
18,num__x2085,0.004467759780894975
19,num__x1011,0.004353407116183141
20,num__x744,0.004343605359079985
21,num__x2641,0.004260292661902106
22,num__x1846,0.004062660971713865
23,num__x2143,0.004055825093156566
24,num__x249,0.004004163400502231
25,num__x995,0.0037973925010088994
26,num__x3163,0.0037286891537140145
27,num__x462,0.0037077048643223438
28,num__x2615,0.003427054840182704
29,num__x2093,0.003416208440806946
30,num__x2680,0.0034144520504737408
31,num__x2570,0.003280026401194738
32,num__x3327,0.003208238168337941
33,num__x18,0.0031942737192230727
34,num__x1054,0.0031763878343072406
35,num__x1892,0.003156658897334533
36,num__x591,0.0031460739547554705
37,num__x1982,0.003140628782682812
38,num__x808,0.003088208209713507
39,num__x169,0.0030715215013561448
40,num__x3126,0.0029834833916294727
41,num__x177,0.0029709982223019736
42,num__x3077,0.0029001921611748775
43,num__x1290,0.0028983125575263937
44,num__x2977,0.0028669133373130317
45,num__x2604,0.0028231491249774655
46,num__x168,0.0027943835464010374
47,num__x1471,0.0027557897642991793
48,num__x934,0.0027452678069197767
49,num__x2139,0.0027437413004763062
50,num__x2183,0.0026747416919949054
51,num__x1995,0.002660552404010622
52,num__x3605,0.002597398483984188
53,num__x3230,0.0025955261011576538
54,num__x3268,0.0025954828169147577
55,num__x3016,0.0025927772434490874
56,num__x762,0.0025644401008336325
57,num__x1274,0.0025575143062309767
58,num__x2239,0.0025363968210161264
59,num__x865,0.0024749575455058656
60,num__x1842,0.002465501667833869
61,num__x2131,0.002463207898106442
62,num__x3019,0.0024451608939897746
63,num__x3223,0.0024228119391229417
64,num__x2241,0.0024116428902185437
65,num__x1239,0.0023985191936224588
66,num__x2745,0.002384772614821562
67,num__x3502,0.00236170347868271
68,num__x2791,0.0023095892314502144
69,num__x2568,0.0023072014990912827
70,num__x3058,0.002298212934302329
71,num__x3228,0.002297786213527343
72,num__x2057,0.0022782613548404467
73,num__x2342,0.002250896249046755
74,num__x3429,0.0022413029454509616
75,num__x805,0.0022404987614465747
76,num__x1912,0.0022206000806127175
77,num__x1613,0.00221154049114766
78,num__x2306,0.0021930359972433824
79,num__x2902,0.002186394226892518
80,num__x507,0.002179871724957523
81,num__x2330,0.0021769214251024438
82,num__x1068,0.0021724220424311513
83,num__x881,0.002148111675449458
84,num__x3330,0.002143709115859912
85,num__x2280,0.0021435047885385665
86,num__x749,0.0021359140261717883
87,num__x2324,0.002134095884667427
88,num__x200,0.0021281476714706564
89,num__x3346,0.002106398295301708
90,num__x1709,0.0021032126778141643
91,num__x380,0.0020891057109167373
92,num__x1157,0.002083591439143881
93,num__x3226,0.0020797993980513686
94,num__x1351,0.0020793917887484362
95,num__x29,0.002074552223581765
96,num__x2113,0.002072786554624929
97,num__x2930,0.002052144561968118
98,num__x1210,0.0020404151975530536
99,num__x3403,0.00199841064239566
100,num__x736,0.00199648412929985
101,num__x3647,0.001990187679181089
102,num__x2374,0.00198473284952873
103,num__x822,0.0019792399923812833
104,num__x3637,0.0019773414312623714
105,num__x0,0.0019709693833511207
106,num__x978,0.0019611785686548745
107,num__x1597,0.0019488164730975482
108,num__x2884,0.0019461587272032105
109,num__x2563,0.0019322793820425704
110,num__x3288,0.0019308555326076374
111,num__x206,0.001921157334195493
112,num__x2361,0.001915081863222063
113,num__x1477,0.0018680713940827578
114,num__x2186,0.001861553201454926
115,num__x2539,0.001849449150427626
116,num__x2123,0.0018418397122362006
117,num__x2868,0.0018326117445576478
118,num__x3525,0.0018297847964475178
119,num__x3640,0.0018180465890553007
120,num__x1060,0.001803289174519119
121,num__x579,0.001797262784978685
122,num__x2927,0.0017939977321127642
123,num__x418,0.0017806788785724261
124,num__x1624,0.0017786138541771828
125,num__x1312,0.001773277321328218
126,num__x1577,0.0017640939580226389
127,num__x1325,0.0017635591543100778
128,num__x2752,0.0017596962543069172
129,num__x2576,0.0017573111257598354
130,num__x3088,0.001756619808202065
131,num__x2155,0.0017504897419884544
132,num__x2436,0.0017426956654500376
133,num__x510,0.0017345861672243845
134,num__x2565,0.0017270618188344991
135,num__x637,0.0017077182108716168
136,num__x3213,0.0016995248278341732
137,num__x75,0.0016851490606740044
138,num__x2248,0.0016675601244174974
139,num__x3644,0.0016654076504250134
140,num__x46,0.0016629088021689205
141,num__x2686,0.0016405373079578386
142,num__x3607,0.0016287179535854164
143,num__x878,0.00162842437542807
